id,dataReferencia,valor,quantidadeBeneficiados,municipio.codigoIBGE,municipio.nomeIBGE,municipio.codigoRegiao,municipio.nomeRegiao,municipio.pais,municipio.uf.sigla,municipio.uf.nome,tipo.id,tipo.descricao,tipo.descricaoDetalhada
7601227,2022-03-01,567268.0,1635,1400027,AMAJARI,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
19301284,2022-03-01,556227.0,2262,1400050,ALTO ALEGRE,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
4501189,2022-03-01,4873593.0,21862,1400100,BOA VISTA,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
9401249,2022-03-01,838955.0,2592,1400159,BONFIM,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
1001245,2022-03-01,1013852.0,3322,1400175,CANTÁ,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
15101334,2022-03-01,1018038.0,3451,1400209,CARACARAÍ,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
20001414,2022-03-01,429107.0,1575,1400233,CAROEBE,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
19001379,2022-03-01,346731.0,1384,1400282,IRACEMA,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
23501417,2022-03-01,937763.0,3610,1400308,MUCAJAÍ,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
10401292,2022-03-01,914695.0,2163,1400407,NORMANDIA,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
23701315,2022-03-01,519529.0,1530,1400456,PACARAIMA,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
18001396,2022-03-01,1102541.0,4006,1400472,RORAINÓPOLIS,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
16201099,2022-03-01,246537.0,975,1400506,SÃO JOÃO DA BALIZA,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
