id,dataReferencia,valor,quantidadeBeneficiados,municipio.codigoIBGE,municipio.nomeIBGE,municipio.codigoRegiao,municipio.nomeRegiao,municipio.pais,municipio.uf.sigla,municipio.uf.nome,tipo.id,tipo.descricao,tipo.descricaoDetalhada
25601346,2022-05-01,573147.0,1642,1400027,AMAJARI,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
3501313,2022-05-01,466774.0,2166,1400050,ALTO ALEGRE,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
20101279,2022-05-01,4603048.0,20149,1400100,BOA VISTA,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
26401242,2022-05-01,835695.0,2606,1400159,BONFIM,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
19001395,2022-05-01,972943.0,3191,1400175,CANTÁ,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
4501315,2022-05-01,940661.0,3247,1400209,CARACARAÍ,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
22401156,2022-05-01,417036.0,1532,1400233,CAROEBE,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
28001235,2022-05-01,322349.0,1320,1400282,IRACEMA,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
1801168,2022-05-01,894894.0,3458,1400308,MUCAJAÍ,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
9301348,2022-05-01,929682.0,2176,1400407,NORMANDIA,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
1801457,2022-05-01,520991.0,1536,1400456,PACARAIMA,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
13301064,2022-05-01,1059292.0,3803,1400472,RORAINÓPOLIS,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
4201037,2022-05-01,244999.0,950,1400506,SÃO JOÃO DA BALIZA,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
1901250,2022-05-01,309350.0,1225,1400605,SÃO LUIZ,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
5401149,2022-05-01,892198.0,1656,1400704,UIRAMUTÃ,1,NORTE,BRASIL,RR,RORAIMA,7,Auxílio Brasil,Auxílio Brasil
14001200,2022-05-01,3329241.0,17644,2600054,ABREU E LIMA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
1101114,2022-05-01,1010685.0,5560,2600104,AFOGADOS DA INGAZEIRA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
23301157,2022-05-01,1188171.0,4722,2600203,AFRÂNIO,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
1101239,2022-05-01,1306926.0,4788,2600302,AGRESTINA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
2501344,2022-05-01,861239.0,4851,2600401,ÁGUA PRETA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
12901214,2022-05-01,3089730.0,10398,2600500,ÁGUAS BELAS,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
23701400,2022-05-01,557637.0,2833,2600609,ALAGOINHA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
7901236,2022-05-01,1858171.0,7761,2600708,ALIANÇA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
16001322,2022-05-01,1086972.0,4594,2600807,ALTINHO,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
26801181,2022-05-01,692815.0,3741,2600906,AMARAJI,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
11901352,2022-05-01,624500.0,2111,2601003,ANGELIM,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
9801302,2022-05-01,1036835.0,3657,2601052,ARAÇOIABA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
17201026,2022-05-01,4302543.0,16532,2601102,ARARIPINA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
14701021,2022-05-01,1903464.0,9754,2601201,ARCOVERDE,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
19101193,2022-05-01,400868.0,2363,2601300,BARRA DE GUABIRABA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
10601353,2022-05-01,1933726.0,9236,2601409,BARREIROS,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
3001252,2022-05-01,621094.0,2911,2601508,BELÉM DE MARIA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
2301496,2022-05-01,1324716.0,4745,2601607,BELÉM DO SÃO FRANCISCO,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
8501234,2022-05-01,3200115.0,14150,2601706,BELO JARDIM,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
11301175,2022-05-01,696071.0,2600,2601805,BETÂNIA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
9101416,2022-05-01,2477883.0,14250,2601904,BEZERROS,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
13401299,2022-05-01,1682967.0,8397,2602001,BODOCÓ,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
12101155,2022-05-01,1779769.0,8041,2602100,BOM CONSELHO,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
27601098,2022-05-01,2089650.0,9379,2602209,BOM JARDIM,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
25701347,2022-05-01,1683727.0,8509,2602308,BONITO,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
2601279,2022-05-01,593807.0,1965,2602407,BREJÃO,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
13201197,2022-05-01,368621.0,1620,2602506,BREJINHO,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
6701402,2022-05-01,1629009.0,9675,2602605,BREJO DA MADRE DE DEUS,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
25901235,2022-05-01,664945.0,3252,2602704,BUENOS AIRES,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
9501243,2022-05-01,2504383.0,10153,2602803,BUÍQUE,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
11101193,2022-05-01,4877737.0,25199,2602902,CABO DE SANTO AGOSTINHO,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
20001282,2022-05-01,1932139.0,7266,2603009,CABROBÓ,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
9001189,2022-05-01,721814.0,4187,2603108,CACHOEIRINHA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
14701130,2022-05-01,1700456.0,5621,2603207,CAETÉS,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
5201203,2022-05-01,425504.0,1889,2603306,CALÇADO,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
9501346,2022-05-01,425483.0,1482,2603405,CALUMBI,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
12101074,2022-05-01,2915625.0,15166,2603454,CAMARAGIBE,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
1501482,2022-05-01,1116700.0,4490,2603504,CAMOCIM DE SÃO FÉLIX,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
24501272,2022-05-01,355526.0,1622,2603603,CAMUTANGA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
1201360,2022-05-01,967893.0,3935,2603702,CANHOTINHO,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
28201299,2022-05-01,883723.0,3522,2603801,CAPOEIRAS,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
13201401,2022-05-01,659924.0,2775,2603900,CARNAÍBA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
28401379,2022-05-01,942338.0,2933,2603926,CARNAUBEIRA DA PENHA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
28601338,2022-05-01,2684399.0,13168,2604007,CARPINA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
5201010,2022-05-01,6567848.0,36904,2604106,CARUARU,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
13001052,2022-05-01,855261.0,3091,2604155,CASINHAS,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
4101084,2022-05-01,2186941.0,9199,2604205,CATENDE,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
2501390,2022-05-01,452970.0,1814,2604304,CEDRO,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
19901322,2022-05-01,748163.0,3043,2604403,CHÃ DE ALEGRIA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
26601098,2022-05-01,851893.0,4350,2604502,CHÃ GRANDE,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
2701162,2022-05-01,800142.0,3348,2604601,CONDADO,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
16201180,2022-05-01,1025555.0,3782,2604700,CORRENTES,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
12201148,2022-05-01,525052.0,2448,2604809,CORTÊS,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
21201274,2022-05-01,1040023.0,4323,2604908,CUMARU,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
15901180,2022-05-01,771704.0,3925,2605004,CUPIRA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
10701235,2022-05-01,1971307.0,7594,2605103,CUSTÓDIA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
14601224,2022-05-01,573390.0,2803,2605152,DORMENTES,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
26701223,2022-05-01,2510413.0,10945,2605202,ESCADA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
14201402,2022-05-01,2171350.0,7177,2605301,EXU,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
7701256,2022-05-01,1227953.0,5588,2605400,FEIRA NOVA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
1801331,2022-05-01,6466.0,18,2605459,FERNANDO DE NORONHA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
7401372,2022-05-01,449134.0,1847,2605509,FERREIROS,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
12401347,2022-05-01,1153523.0,4228,2605608,FLORES,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
25001338,2022-05-01,1439712.0,6035,2605707,FLORESTA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
8701186,2022-05-01,938403.0,3686,2605806,FREI MIGUELINHO,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
12601180,2022-05-01,1087732.0,5309,2605905,GAMELEIRA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
25801165,2022-05-01,4544035.0,20625,2606002,GARANHUNS,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
24601185,2022-05-01,1066324.0,5261,2606101,GLÓRIA DO GOITÁ,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
19801315,2022-05-01,2661490.0,12466,2606200,GOIANA,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
19701162,2022-05-01,467708.0,1651,2606309,GRANITO,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
2901088,2022-05-01,3491772.0,15499,2606408,GRAVATÁ,2,NORDESTE,BRASIL,PE,PERNAMBUCO,7,Auxílio Brasil,Auxílio Brasil
