UF,NM_MUNICIPIO,LOCAL_COD,POP2000_TOT,POP2010_TOT,POP2022_TOT,VAR_00-10,VAR_10-22
PE,CARUARU,2604106,253634.0,314951.0,378180,24.175386580663474,20.075821318236805
PE,CASINHAS,2604155,13345.0,13791.0,12629,3.3420756837766956,-8.425784932202161
PE,CATENDE,2604205,31257.0,37830.0,31975,21.028889528745562,-15.477134549299498
PE,CEDRO,2604304,9551.0,10778.0,10512,12.846822322269919,-2.4679903507144183
PE,CHA DE ALEGRIA,2604403,11102.0,12375.0,12387,11.466402450009006,0.09696969696969697
PE,CHA GRANDE,2604502,18407.0,20020.0,20494,8.762970609007443,2.3676323676323676
PE,CONDADO,2604601,21797.0,24298.0,24586,11.47405606276093,1.1852827393201086
PE,CORRENTES,2604700,17044.0,17421.0,17153,2.211922084017836,-1.5383732277136788
PE,CORTES,2604809,12681.0,12458.0,10361,-1.7585363930289408,-16.83255739283994
PE,CUMARU,2604908,27489.0,17166.0,15824,-37.55320309942159,-7.8177793312361645
PE,CUPIRA,2605004,22383.0,23392.0,23474,4.507885448778091,0.350547195622435
PE,CUSTODIA,2605103,29969.0,34305.0,35915,14.468283893356467,4.6931934120390615
PE,DORMENTES,2605152,14411.0,16915.0,16159,17.375615849004234,-4.469405852793379
PE,ESCADA,2605202,57341.0,63535.0,59526,10.8020439127326,-6.309907924765877
PE,EXU,2605301,32423.0,31636.0,31803,-2.4272892699626807,0.5278796308003539
PE,FEIRA NOVA,2605400,18857.0,20588.0,21362,9.179614997083311,3.7594715368175637
PE,FERNANDO DE NORONHA,2605459,2051.0,2629.0,2947,28.18137493905412,12.095853936858122
PE,FERREIROS,2605509,10727.0,11437.0,15040,6.618812342686678,31.50301652531258
PE,FLORES,2605608,20823.0,22171.0,20213,6.473610911011862,-8.83135627621668
PE,FLORESTA,2605707,24729.0,29284.0,30110,18.419669214282827,2.8206529162682696
PE,FREI MIGUELINHO,2605806,12978.0,14231.0,13666,9.65480043149946,-3.9702058885531586
PE,GAMELEIRA,2605905,24003.0,27915.0,18012,16.297962754655668,-35.47555077915099
PE,GARANHUNS,2606002,117749.0,129392.0,142286,9.88798206354194,9.965067392110795
PE,GLORIA DO GOITA,2606101,27554.0,29675.0,29123,7.6976119619655945,-1.8601516427969673
PE,GOIANA,2606200,71177.0,75648.0,80983,6.281523525858073,7.052400592216582
PE,GRANITO,2606309,6110.0,6857.0,6971,12.225859247135842,1.6625346361382527
PE,GRAVATA,2606408,67273.0,76669.0,85983,13.966970404174036,12.148325920515463
PE,IATI,2606507,17691.0,18271.0,17118,3.278503193714318,-6.310546768102457
PE,IBIMIRIM,2606606,24340.0,26959.0,27406,10.760065735414955,1.6580733706739865
PE,IBIRAJUBA,2606705,7438.0,7534.0,7127,1.2906695348211885,-5.4021767985134055
PE,IGARASSU,2606804,82277.0,101987.0,115281,23.95566197114625,13.03499465618167
PE,IGUARACY,2606903,11486.0,11780.0,10950,2.5596378199547276,-7.045840407470289
PE,INAJA,2607000,13280.0,19081.0,23871,43.682228915662655,25.10350610555002
PE,INGAZEIRA,2607109,4567.0,4496.0,4750,-1.5546310488285526,5.649466192170818
PE,IPOJUCA,2607208,59281.0,80542.0,98762,35.86477960898095,22.62173772690025
PE,IPUBI,2607307,23042.0,28120.0,28838,22.038017533200243,2.5533428165007113
PE,ITACURUBA,2607406,3669.0,4369.0,4394,19.078768056691196,0.5722133211261158
PE,ITAIBA,2607505,26799.0,26264.0,33498,-1.9963431471323556,27.543405421870244
PE,ILHA DE ITAMARACA,2607604,15858.0,22449.0,22879,41.56261823685206,1.9154528041338146
PE,ITAMBE,2607653,34982.0,35398.0,34925,1.1891830084043222,-1.3362336855189558
PE,ITAPETIM,2607703,14766.0,13882.0,13492,-5.986726263036706,-2.809393459155741
PE,ITAPISSUMA,2607752,20116.0,23723.0,27565,17.93100019884669,16.19525355140581
PE,ITAQUITINGA,2607802,14950.0,15698.0,16562,5.003344481605351,5.503885845330616
PE,JABOATAO DOS GUARARAPES,2607901,581556.0,644699.0,653793,10.857595829120498,1.410580751637586
PE,JAQUEIRA,2607950,11653.0,11513.0,10237,-1.2014073629108384,-11.083123425692696
PE,JATAUBA,2608008,14653.0,15810.0,15419,7.8959939944038755,-2.4731182795698925
PE,JATOBA,2608057,13148.0,13982.0,14002,6.343170063888044,0.14304105278214846
PE,JOAO ALFREDO,2608107,27023.0,30735.0,27710,13.736446730562854,-9.842199446884658
PE,JOAQUIM NABUCO,2608206,15925.0,15774.0,13099,-0.9481946624803768,-16.95828578673767
PE,JUCATI,2608255,9695.0,10604.0,11536,9.375966993295513,8.789136175028291
PE,JUPI,2608305,12329.0,13709.0,15336,11.1931219076973,11.868115836311912
PE,JUREMA,2608404,13741.0,14494.0,12713,5.479950513063096,-12.287843245480888
PE,LAGOA DO CARRO,2608453,13110.0,15990.0,17368,21.96796338672769,8.617886178861788
PE,LAGOA DE ITAENGA,2608503,20172.0,20653.0,18813,2.3844933571286933,-8.909117319517746
PE,LAGOA DO OURO,2608602,10977.0,12121.0,11859,10.421791017582217,-2.161537826911971
PE,LAGOA DOS GATOS,2608701,16100.0,15615.0,14139,-3.012422360248447,-9.452449567723344
PE,LAGOA GRANDE,2608750,19137.0,22719.0,23580,18.717667345978995,3.789779479730622
PE,LAJEDO,2608800,32209.0,36606.0,39436,13.65146387655624,7.7309730645249415
PE,LIMOEIRO,2608909,56322.0,55574.0,55917,-1.3280778381449523,0.6171950912297117
PE,MACAPARANA,2609006,22494.0,23907.0,23187,6.281675113363564,-3.011670222110679
PE,MACHADOS,2609105,9826.0,13632.0,11068,38.73397109708935,-18.80868544600939
PE,MANARI,2609154,13028.0,18187.0,24255,39.59932453177771,33.36449112003079
PE,MARAIAL,2609204,14017.0,12257.0,8935,-12.556181779268034,-27.10287998694623
PE,MIRANDIBA,2609303,13122.0,14308.0,13359,9.038256363359244,-6.63265306122449
PE,MORENO,2609402,49205.0,56767.0,54637,15.368356874301393,-3.7521799637113116
PE,NAZARE DA MATA,2609501,29254.0,30782.0,30589,5.223217337799959,-0.6269897992333182
PE,OLINDA,2609600,367902.0,375559.0,349920,2.081260770531283,-6.826890049233277
PE,OROBO,2609709,22475.0,22865.0,21173,1.7352614015572858,-7.399956265033894
PE,OROCO,2609808,10825.0,13176.0,13670,21.71824480369515,3.7492410443230115
PE,OURICURI,2609907,56733.0,64335.0,65200,13.399608693353073,1.3445247532447346
PE,PALMARES,2610004,55790.0,59524.0,53987,6.692955726832765,-9.302130233183254
PE,PALMEIRINA,2610103,9536.0,8188.0,7032,-14.135906040268456,-14.118221787982414
PE,PANELAS,2610202,25874.0,25654.0,22412,-0.8502744067403571,-12.637405472830748
PE,PARANATAMA,2610301,10348.0,11001.0,12181,6.310398144568999,10.726297609308244
PE,PARNAMIRIM,2610400,19289.0,20227.0,18563,4.862875213852455,-8.226627774756514
PE,PASSIRA,2610509,29132.0,28664.0,28235,-1.6064808458053002,-1.4966508512419758
PE,PAUDALHO,2610608,45138.0,51374.0,55072,13.815410518853295,7.198193638805621
PE,PAULISTA,2610707,262237.0,300611.0,348253,14.63332786753967,15.84838878151498
PE,PEDRA,2610806,20244.0,20950.0,22884,3.4874530725153132,9.231503579952268
PE,PESQUEIRA,2610905,57721.0,62793.0,60853,8.787096550648812,-3.0895163473635594
PE,PETROLANDIA,2611002,27320.0,32485.0,34302,18.905563689604683,5.593350777281823
PE,PETROLINA,2611101,218538.0,294081.0,388145,34.567443648244236,31.985745423879813
PE,POCAO,2611200,11178.0,11242.0,10499,0.5725532295580604,-6.609144280377158
PE,POMBOS,2611309,23351.0,24033.0,29499,2.9206457967538864,22.743727374859567
PE,PRIMAVERA,2611408,11477.0,13439.0,13536,17.095059684586563,0.7217798943373763
PE,QUIPAPA,2611507,22145.0,24187.0,17873,9.221043124858884,-26.104932401703394
PE,QUIXABA,2611533,6855.0,6735.0,6508,-1.75054704595186,-3.370452858203415
PE,RECIFE,2611606,1422905.0,1536934.0,1494586,8.013816804354471,-2.755355792766638
PE,RIACHO DAS ALMAS,2611705,18142.0,19158.0,20307,5.600264579428949,5.997494519260884
PE,RIBEIRAO,2611804,41449.0,44445.0,33484,7.228159907356028,-24.66194172572843
PE,RIO FORMOSO,2611903,20764.0,22140.0,19905,6.626854170680023,-10.094850948509485
PE,SAIRE,2612000,13649.0,11242.0,10910,-17.63499157447432,-2.9532111723892545
PE,SALGADINHO,2612109,7139.0,9287.0,5733,30.088247653733013,-38.26854743189404
PE,SALGUEIRO,2612208,51571.0,56641.0,62206,9.831106629694984,9.825038399745766
PE,SALOA,2612307,15006.0,15283.0,13530,1.8459282953485274,-11.470261074396388
PE,SANHARO,2612406,15879.0,21960.0,18606,38.295862459852636,-15.273224043715846
PE,SANTA CRUZ,2612455,11264.0,13594.0,14178,20.685369318181817,4.296012946888332
PE,SANTA CRUZ DA BAIXA VERDE,2612471,10893.0,11769.0,11598,8.041861746075462,-1.4529696660718838
PE,SANTA CRUZ DO CAPIBARIBE,2612505,59048.0,87538.0,97386,48.248882265275704,11.249971440974207
PE,SANTA FILOMENA,2612554,12115.0,13322.0,11613,9.962855963681386,-12.828404143521993
PE,SANTA MARIA DA BOA VISTA,2612604,36914.0,39473.0,40464,6.932329197594409,2.5105768499987335
PE,SANTA MARIA DO CAMBUCA,2612703,11739.0,13023.0,13715,10.937899309992332,5.313675804346157
PE,SANTA TEREZINHA,2612802,10251.0,10991.0,10164,7.2188079211784215,-7.524338094804841
PE,SAO BENEDITO DO SUL,2612901,10477.0,13939.0,15605,33.04381025102606,11.95207690652127
PE,SAO BENTO DO UNA,2613008,45360.0,53232.0,48621,17.354497354497354,-8.662082957619477
PE,SAO CAITANO,2613107,33426.0,35278.0,36982,5.540597139950936,4.830205793979251
PE,SAO JOAO,2613206,19744.0,21305.0,23411,7.906199351701783,9.8850035203004
PE,SAO JOAQUIM DO MONTE,2613305,19842.0,20489.0,20098,3.260760004031851,-1.9083410610571525
