address_components,formatted_address,partial_match,place_id,types,geometry.bounds.northeast.lat,geometry.bounds.northeast.lng,geometry.bounds.southwest.lat,geometry.bounds.southwest.lng,geometry.location.lat,geometry.location.lng,geometry.location_type,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,former_id,maps_query,plus_code.compound_code,plus_code.global_code
"[{'long_name': 'São Luiz', 'short_name': 'São Luiz', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'State of Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69370-000', 'short_name': '69370-000', 'types': ['postal_code']}]","São Luiz - State of Roraima, 69370-000, Brazil",True,ChIJ31kWcCb3i40Ro_rw0eLj5VQ,"['establishment', 'point_of_interest', 'school']",,,,,1.0178666,-60.04352840000001,GEOMETRIC_CENTER,1.019327830291502,-60.0421270197085,1.016629869708498,-60.04482498029152,19,"ESCOLA MUNICIPAL SENADOR HÉLIO CAMPOS,AV. BOA VISTA, S/N, TEL. 3537 1305,CENTRO,SÃO LUIZ,RR","2X94+4H São Luiz - State of Roraima, Brazil",67HX2X94+4H
"[{'long_name': 'São Luiz', 'short_name': 'São Luiz', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'State of Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69370-000', 'short_name': '69370-000', 'types': ['postal_code']}]","São Luiz - State of Roraima, 69370-000, Brazil",True,ChIJu4B0_CP3i40RiqrRuJTB-XQ,"['establishment', 'point_of_interest', 'school']",,,,,1.0130057,-60.038788,GEOMETRIC_CENTER,1.014345330291502,-60.03744376970849,1.011647369708498,-60.0401417302915,19,"ESCOLA MUNICIPAL SENADOR HÉLIO CAMPOS,AV. BOA VISTA, S/N, TEL. 3537 1305,CENTRO,SÃO LUIZ,RR","2X76+6F São Luiz - State of Roraima, Brazil",67HX2X76+6F
"[{'long_name': '246', 'short_name': '246', 'types': ['street_number']}, {'long_name': 'Avenida Capitão Ene Garcês', 'short_name': 'Av. Cap. Ene Garcês', 'types': ['route']}, {'long_name': 'Centro', 'short_name': 'Centro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Boa Vista', 'short_name': 'Boa Vista', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69304', 'short_name': '69304', 'types': ['postal_code', 'postal_code_prefix']}]","Av. Cap. Ene Garcês, 246 - Centro, Boa Vista - RR, 69304, Brazil",True,EkFBdi4gQ2FwLiBFbmUgR2FyY8OqcywgMjQ2IC0gQ2VudHJvLCBCb2EgVmlzdGEgLSBSUiwgNjkzMDQsIEJyYXppbCIxEi8KFAoSCX1xTmbwBZONERxXzsqJtzymEPYBKhQKEgmtin155QWTjREsnLi1SsfH_w,['street_address'],,,,,2.8350724,-60.6878456,RANGE_INTERPOLATED,2.836355780291502,-60.68655586970849,2.833657819708498,-60.6892538302915,20,"COLÉGIO DE APLICAÇÃO-CAP - UFRR,AV. CAP. ENE GARCEZ, 246 - CAMPUS DE PARICARANA,AEROPORTO,BOA VISTA,RR",,
"[{'long_name': '2413', 'short_name': '2413', 'types': ['street_number']}, {'long_name': 'Avenida Capitão Ene Garcês', 'short_name': 'Av. Cap. Ene Garcês', 'types': ['route']}, {'long_name': 'Aeroporto', 'short_name': 'Aeroporto', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Boa Vista', 'short_name': 'Boa Vista', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69310-000', 'short_name': '69310-000', 'types': ['postal_code']}]","Av. Cap. Ene Garcês, 2413 - Aeroporto, Boa Vista - RR, 69310-000, Brazil",True,ChIJI3N2NHYFk40RmLEMslHUuec,"['establishment', 'point_of_interest', 'university']",,,,,2.8333356,-60.69378930000001,ROOFTOP,2.834684580291502,-60.6924403197085,2.831986619708498,-60.69513828029151,20,"COLÉGIO DE APLICAÇÃO-CAP - UFRR,AV. CAP. ENE GARCEZ, 246 - CAMPUS DE PARICARANA,AEROPORTO,BOA VISTA,RR","R8M4+8F Aeroporto, Boa Vista - RR, Brazil",67JXR8M4+8F
"[{'long_name': '1277-1141', 'short_name': '1277-1141', 'types': ['street_number']}, {'long_name': 'Avenida Presidente Castelo Branco', 'short_name': 'Av. Pres. Castelo Branco', 'types': ['route']}, {'long_name': 'Calunga', 'short_name': 'Calunga', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Boa Vista', 'short_name': 'Boa Vista', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69303-035', 'short_name': '69303-035', 'types': ['postal_code']}]","Av. Pres. Castelo Branco, 1277-1141 - Calunga, Boa Vista - RR, 69303-035, Brazil",True,ChIJU2Hvl8YFk40RIgOArQI1h4Q,"['establishment', 'point_of_interest', 'school']",,,,,2.8068213,-60.67384680000001,ROOFTOP,2.808211730291502,-60.67249691970851,2.805513769708498,-60.67519488029151,21,"ESCOLA MUNICIPAL NEWTON TAVARES,AV. CASTELO BRANCO, S/N,CALUNGÁ,BOA VISTA,RR","R84G+PF Calunga, Boa Vista - RR, Brazil",67JXR84G+PF
"[{'long_name': '184', 'short_name': '184', 'types': ['street_number']}, {'long_name': 'Avenida Consolação de Matos', 'short_name': 'Av. Consolação de Matos', 'types': ['route']}, {'long_name': 'Cidade Satélite', 'short_name': 'Cidade Satélite', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Boa Vista', 'short_name': 'Boa Vista', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69317-474', 'short_name': '69317-474', 'types': ['postal_code']}]","Av. Consolação de Matos, 184 - Cidade Satélite, Boa Vista - RR, 69317-474, Brazil",True,ChIJLXcUr1sFk40ROEdMSUvA5B4,['street_address'],,,,,2.8419353,-60.744606,ROOFTOP,2.843209980291502,-60.74324226970849,2.840512019708498,-60.7459402302915,22,"PROFESSORA ANA SANDRA NASCIMENTO QUEIROZ E. E.,AV. CONSOLAÇÃO DE MATOS, 184,CIDADE SATÉLITE,BOA VISTA,RR","R7R4+Q5 Cidade Satélite, Boa Vista - RR, Brazil",67JXR7R4+Q5
"[{'long_name': '623', 'short_name': '623', 'types': ['street_number']}, {'long_name': 'Avenida Consolação de Matos', 'short_name': 'Av. Consolação de Matos', 'types': ['route']}, {'long_name': 'Cidade Satélite', 'short_name': 'Cidade Satélite', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Boa Vista', 'short_name': 'Boa Vista', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69315-096', 'short_name': '69315-096', 'types': ['postal_code']}]","Av. Consolação de Matos, 623 - Cidade Satélite, Boa Vista - RR, 69315-096, Brazil",True,ChIJz4ANd2AFk40RxWp5f05jTvk,"['establishment', 'point_of_interest', 'school']",,,,,2.8419828,-60.74433080000001,ROOFTOP,2.843260930291502,-60.74296756970849,2.840562969708498,-60.7456655302915,22,"PROFESSORA ANA SANDRA NASCIMENTO QUEIROZ E. E.,AV. CONSOLAÇÃO DE MATOS, 184,CIDADE SATÉLITE,BOA VISTA,RR","R7R4+Q7 Cidade Satélite, Boa Vista - RR, Brazil",67JXR7R4+Q7
"[{'long_name': '1201', 'short_name': '1201', 'types': ['street_number']}, {'long_name': 'Avenida das Guianas', 'short_name': 'Av. das Guianas', 'types': ['route']}, {'long_name': 'Treze de Setembro', 'short_name': 'Treze de Setembro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Boa Vista', 'short_name': 'Boa Vista', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69308-160', 'short_name': '69308-160', 'types': ['postal_code']}]","Av. das Guianas, 1201 - Treze de Setembro, Boa Vista - RR, 69308-160, Brazil",True,ChIJTxszji0Ek40R8y-byCbtLWY,"['establishment', 'point_of_interest', 'school']",,,,,2.8035117,-60.68605609999999,ROOFTOP,2.805127630291502,-60.6845668697085,2.802429669708498,-60.68726483029151,23,"MARIA DAS DORES BRASIL E.E.PROFª. ,AV. DAS GUIANAS, 1201,TREZE DE SETEMBRO,BOA VISTA,RR","R837+CH Treze de Setembro, Boa Vista - RR, Brazil",67JXR837+CH
"[{'long_name': 'Centro', 'short_name': 'Centro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Rorainópolis', 'short_name': 'Rorainópolis', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69373-000', 'short_name': '69373-000', 'types': ['postal_code']}]","Centro, Rorainópolis - RR, 69373-000, Brazil",True,ChIJ9di77hGFi40RHlgH1elxqIE,"['political', 'sublocality', 'sublocality_level_1']",0.9502771,-60.422176,0.9397078000000001,-60.43075260000001,0.9446873,-60.4268869,APPROXIMATE,0.9502771,-60.422176,0.9397078000000001,-60.43075260000001,24,"ESCOLA EST. JOSÉ DE ALENCAR,AV. DRA. YANDARA DE CARVALHO, S/N, SEDE,CENTRO,RORAINÓPOLIS,RR",,
"[{'long_name': '5364', 'short_name': '5364', 'types': ['street_number']}, {'long_name': 'Avenida Getúlio Vargas', 'short_name': 'Av. Getúlio Vargas', 'types': ['route']}, {'long_name': 'Centro', 'short_name': 'Centro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Boa Vista', 'short_name': 'Boa Vista', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Roraima', 'short_name': 'RR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '69301-030', 'short_name': '69301-030', 'types': ['postal_code']}]","Av. Getúlio Vargas, 5364 - Centro, Boa Vista - RR, 69301-030, Brazil",True,ChIJt-aUcB8Gk40RnA0KqfeQ5Q4,"['establishment', 'point_of_interest', 'primary_school', 'school']",,,,,2.8222799,-60.667087,ROOFTOP,2.823557630291501,-60.66565761970849,2.820859669708498,-60.6683555802915,25,"OSVALDO CRUZ E.E.,AV. GETÚLIO VARGAS, 5364 - TEL. 3623 9574 - ORELHÃO,CENTRO,BOA VISTA,RR","R8CM+W5 Centro, Boa Vista - RR, Brazil",67JXR8CM+W5
